corpus,user/qirim/corpus_28_06_crimean_tatar
halqlarnıñ,189
bektore,188
uzatıp,188
alı,188
qısmı,188
vaqıtlar,188
zemane,188
qızına,188
inşalla,188
refat,188
aytayım,188
şairimiz,188
oy,188
etkende,188
nesir,188
mektüpni,188
avcı,188
qararına,188
kitabını,188
yanğan,188
yarmat,187
aytılğan,187
soradım,187
satın,187
elektrik,187
mahmud,187
tilimizde,187
edebiyatımız,187
kelmekte,187
yolnıñ,187
baqar,187
keçmeden,187
yiberdi,187
etrafına,187
silâ,187
cebinden,187
dudaqlarını,187
zibide,187
yolnı,186
hususta,186
müddet,186
qolunen,186
saip,186
alındı,186
qızları,186
yigitniñ,186
usul,185
avale,185
közüni,185
dostları,185
başıma,185
yapacaq,185
betini,185
bereket,185
açılğan,185
bal,185
devrinde,184
yılğa,184
alicenap,184
halqına,184
